en ;in
la universidad;Universität
¿Qué es la universidad?;Was ist die Universität?
es (inf: ser);ist
el /la amigo/-a ;Freund/in
el aula ;Hörsaal, Klassenzimmer, Kursraum
la cultura;Kultur
el horario ;Stundenplan
el título;Titel
el deporte;Sport
la fiesta;Fest, Feier
la asociación;Verbindung, Verein, Verband
el examen ;Prüfung
la excursión;Ausflug, Exkursion
la biblioteca ;Bibliothek
la investigación;Untersuchung, Forschung  
para mí;für mich 
bienvenido/-a (a);willkommen in
el departamento;Abteilung, Fachbereich 
el servicio;Service, Dienst, Dienstleistung
el/la alumno/-a;"Schüler/in; Student/in"
el tablón de anuncios;Schwarzes Brett
el anuncio;Ankündigung, Bekannt-gabe, Anzeige
los estudios;Studium
el/ la rector/a ;Rektor/in
la inauguración del curso académico;Auftaktveranstaltung des Studieniahres
la restauración de ;Restaurierung, Restauration von
la fachada;Fassade
la oferta;Angebot
las actividades de deporte;Sportaktivitäten
nuevo/-a;neu
miles de estudiantes ;Tausende Studierende
la feria de bienvenida;Willkommensfeier (für Erst-semester)
el plazo ;Frist 
solicitar;beantragen, sich bewerben um
la beca;Stipendium
la movilidad ;"Mobilität; Beweglichkeit"
el programa;Programm
el grado ;(akademischer) Grad
el máster universitario;Master (akademischer Grad)
el doctorado;Doktortitel, Promotion 
propio/-a ;eigene/r/s
los servicios al estudiante;Studierendenservice
el voluntariado;Ehrenamt, freiwilliger Dienst
el laboratorio;Labor
la informática;Informatik
las prácticas ;Praktikum
la información;Information
el lugar;Ort, Platz, Stelle 
masculino/-a;männlich 
femenino/-a;weiblich
el singular ;Einzahl
el plural;Mehrzahl
el/la;der / die / das (bestimmter Artikel)
un /una;ein / eine (unbestimmter Artikel)
unos títulos;einige Titel
el ojo;"Auge; hier: Achtung"
la cifra;Ziffer, Zahl
tiene …. años ;sie ist ... Jahre alt
tener (g, ie);haben
casi;fast
en total;insgesamt 
tenemos (inf: tener);wir haben
la facultad ;Fakultät
la escuela universitaria;Hochschule 
aproximadamente;etwa, ungefähr
el campus;Campus, Universitätsgelände
tienen (inf: tener);sie haben
la posibilidad;Möglichkeit 
elegir (i);(aus)wählen
entre;unter
la nacionalidad;Nationalität
diferente;verschieden, unterschiedlich 
уо;ich
él/ella;er / sie
usted;Sie (Singular)
nosotros / nosotras ;wir
vosotros / vosotras;ihr
ellos / ellas;sie (Plural)
ustedes;Sie (Plural)
el tándem;"(Sprach-)Tandem; Tandem-partner"
el número de teléfono;Telefonnummer
el cero;Null
la clase;Klasse 
no;"nein; kein/e"
la cuenta;Konto
Latinoamérica;Lateinamerika
mi;mein/e
la antigüedad ;"Alter; Altertum "
el primer día;der erste Tag 
primero/-a;erste/r/s
el contacto;Kontakt
¿Es usted el señor Ríos?;Sind Sie Herr Ríos?
es (inf: ser);er / sie ist, Sie sind 
ser;sein
el / la señor/a;Herr / Frau 
si;ja, doch 
soy yo;das bin ich
el / la estudiante de intercambio;Austauschschüler/-student
claro;klar, natürlich 
¿Qué tal estás?;Wie geht es dir?
¿De dónde...?;Woher ..?
eres (inf: ser);du bist
Francia;Frankreich
mira (inf: mirar);schau
este/-a;diese/r/s
el/la coordinador/a;Koordinator/in 
encantado/-a;sehr erfreut
estos/-as son (inf: ser);das sind
sois (inf: ser);ihr seid
también;auch
no;nein
somos (inf: ser);wir sind
pero;aber
hoy;heute
el inglés;Englisch
el / la catedrático/-a;(Hochschul-)Professor/in
mucho gusto;angenehm
muy;sehr
el / la profesor/a invitado/-a;Gastdozent/in
invitado/-a;eingeladen
el semestre;Semester
no;nicht
yo sí;ich schon
el perfil;Profil
el/la informático/-a;Informatiker/in
el / la bibliotecario/-a;Bibliothekar/in
el / la representante de alumnos;Studentenvertreter/in
el / la becario/-a;Stipendiat/in
el / la auxiliar médico/-a;medizinische Hilfskraft, Arzthelferin
el/la administrativo/-a;Verwaltungsangestellte/r, Sachbearbeiter/in
el / la investigador/a;Forscher/in, Wissenschaft-ler/in
el personal de administración;Verwaltungspersonal
el nombre;(Vor-)Name
el apellido;Nachname
la edad;Alter
la dirección;Adresse
el lugar de residencia ;Wohnort
el correo electrónico;E-Mail(-Adresse)
el lugar de nacimiento;Geburtsort
de apellido;mit Nachnamen
¿Qué haces? (inf: hacer);Was machst du (beruflich)?
hacer (g);machen
¿De qué facultad eres?;An welcher Fakultät bist du?
¿Cuál es tu número de teléfono?;Wie lautet deine Telefon-nummer?
el móvil el celular (LA);Handy
el número de matrícula;Matrikelnummer
la arroba (@);At-Zeichen, Klammeraffe
el punto (.);Punkt
el guion (-);Bindestrich
el guion bajo ( );Unterstrich zusammen
junto/-a;oder
separado/-a;getrennt
el carnet electrónico;elektronischer Studentena
¿Para qué? ;Wozu?
usas (inf: usar);du benutzt
el idioma;Sprache
la afición;Neigung, Vorliebe
Italia;talien
vivo (inf: vivir);ich wohne
el /la chico/-a;junge/r Mann / Frau
Rusia;Russland
Brasil;Brasilien 
hablo (inf: hablar);ich spreche
el francés;Französisch
ahora;jetzt
aprendo (inf: aprender);ich lerne 
estudiar;"studieren; lernen "
busco (inf: buscar);ich suche 
practicar;üben, praktizieren 
cocinas (inf: cocinar);du kochst
¿Qué tal si...?;Wie wäre es, wenn . ? 
juntos/-as;zusammen, gemeinsam 
hablamos (inf: hablar);wir sprechen
la familia;Familie
Turquía;Türkei 
vivimos (inf: vivir);wir wohnen
como;als
la asignatura optativa;Wahl(pflicht)fach 
optativo/-a;fakultativ, wahlfrei 
comprendo (inf comprender);ich verstehe
difícil;schwierig
leo (inf: leer);ich lese
mucho;viel
la pasión;Leidenschaft
bailas (inf: bailar);du tanzt
la salsa;Salsa (Musikform und Tanz)
el tango;Tango (Musikform und Tanz)
tocas (inf: tocar);du spielst 
entonces;dann
tener (g, ie) algo en común;etwas gemeinsam haben
algo;etwas
estudio (inf: estudiar);ich studiere 
el nivel;Niveau, Stufe 
necesito (inf: necesitar);ich muss, ich brauche
porque;weil 
importante;wichtig 
el alemán;Deutsch
el ruso;Russisch 
escribo (inf: escribir);ich schreibe
el artículo;Artikel
el blog ;Blog
el/la hablante de español;Spanischsprachige/r
tomar;trinken, essen 
Grecia;Griechenland
trabajo (inf: trabajar);ich arbeite
la empresa;Unternehmen
el turismo;Tourismus
participo (en) (inf: participar);teilnehmen (an)
el congreso internacional;Kongress international
mis;meine
el/ la colega;Kollege/-in
España;Spanien
la clase de conversación ;Konversationsunterricht
viajar ;reisen
el teatro;Theater
el país;Land
¿Dónde?;Wo?
¿Quién? ;Wer?
por amor ;aus Liebe 
por ;"pro; durch; für; wegen"
el amor ;Liebe
el/la hispanohablante;Spanischsprachige/r
escuchar ;(zu)hören
español/a ;spanisch
el café ;Kaffee
la guitarra ;Gitarre
el libro;Buch
el chile con carne;Chili con carne (scharfer Hackfleischeintopf)
yo no;ich nicht 
tampoco ;auch nicht
te;dir
presentar;vorstellen
contar (ue);erzählen
el grupo de música;Musikgruppe, Band 
solo/-a;allein
el tiempo libre ;Freizeit
la cafetería;Café
el piano;Klavier
la sociología ;Soziologie 
autónomo/-a;autonom
la presentación;Präsentation, Vorstellung
¿Quién soy? ;Wer bin ich?
la estrategia ;Strategie 
segundo/-a;zweite/r/s
mejor;beste/r/s
la calidad de vida;Lebensqualität
Sudamérica ;Südamerika
el destino ;Zielort
favorito/-a;Lieblings-
unos/-as (vor Zahlenangaben);ungefähr
el millón;Million
el /la turista ;Tourist/in
al año;pro Jahr, jährlich 
la identidad cultural;kulturelle Identität 
cultural;kulturell
el lunfardo;Varietät des Spanischen aus Buenos Aires
el subte(rráneo);U-Bahn, Metro
el metro;U-Bahn
el metro más antiguo;die älteste U-Bahn
antiguo/-a;alt
fundado/-a;gegründet
el hospital ;Krankenhaus
el museo;Museum
(el) marzo;März
(el) julio;Juli
(el) agosto;August
(el) diciembre;Dezember
Argentina;Argentinien 
¿estudiás?;lernst du? (argentinische Verbform) 
latinoamericano/-a ;lateinamerikanisch
la lengua extranjera;Fremdsprache 
extranjero/-a;ausländisch 
llegar;(an)kommen
especialmente;besonders, überwiegend
el mes;Monat
(el) febrero;Februar
perfeccionar ;vervollkommnen
la carrera de grado;Hochschulstudium
la carrera de posgrado;Aufbaustudium
normalmente;normalerweise
su;sein/e, ihr/e, Ihr/e
sus;seine, ihre, Ihre
la educación;Bildung
gratuito/-a;kostenlos
aunque;"obwohl; sellst wenn"
hay (haber);es gibt
otro/-a;ein/e andere/r/s
que;der / die / das (Relativ-pronomen)
popular;beliebt
Estados Unidos;Vereinigte Staaten, USA
Canadá;Kanada
del norte de Europa;nordeuropäisch
Gran Bretaña;Großbritannien
gran(de);groß
el fútbol;Fußball
el mate;Mate(-Tee)
el asado;Braten
