comer;essen
la cena ;Abendessen
la pizza;Pizza
italiano/-a;italienisch
congelado/-a;(tief-)gefroren, tiefgekühlt 
probablemente ;wahrscheinlich
la lechuga iceberg;Eisbergsalat
el aperitivo;Aperitiv
salado/-a ;gesalzen, salzig 
la especie ;Art, Sorte
el pastel;Kuchen, Gebäck 
dulce;süß
la tortilla de patatas;Kartoffelomelett
la servilleta;Serviette
el papel de W. C.;Toilettenpapier
el queso ;Käse
el gazpacho;kalte Gemüsesuppe
¡Olé!;Bravo! Weiter so!
saber (yo sé);wissen
te lo comes ;du isst es auf 
la clase;Sorte, Art
el digestivo;Digestif, Verdauungstrunk
la absenta;Absinth
el patxaran (pacharán);Anis-Schlehen-Likör
el jager;Jägermeister
el kalimotxo (calimocho);Mischgetränk aus Rotwein und Cola
el guacamole ;Avocado-Dip
el hummus;orientalischer Kichererbsendip
el agua ;Wasser
el salchichón;luftgetrocknete, salamiartige Hartwurst
el fuet;Hartwurst mit Edelschimmelhaut
el chorizo;Paprikawurst
mitiquérrimo/-a fam;ein wahrer Mythos, legendär
la baguette (baguete);Baguette
la salsa;Soße
el aguacate ;Avocado
el tomate ;Tomate
la cebolla;Zwiebel
el chile;Chili
la sopa;Suppe 
frio/-a;kalt
el pepino ;Gurke
la especialidad;Spezialität
la patata ;Kartoffel
el huevo ;Ei
la bebida;Getränk
el vino tinto;Rotwein 
la cola;(koffeinhaltige) Limonade
el azúcar;Zucker
¿Con qué frecuencia? ;Wie oft?
todas las semanas ;jede Woche 
una vez al mes ;einmal im Monat 
dos veces al mes ;zweimal im Monat
el restaurante;Restaurant 
reservar ;reservieren
la mesa ;Tisch 
comprar ;kaufen
algo preparado ;Fertigprodukt, Fertiggericht 
cada (uno/-a);jede/r/s
el plato ;Speise, Gericht
el orden;Ordnung, Reihenfolge
la nevera;Kühlschrank 
ordenar ;ordnen, aufräumen 
el truco ;Trick, Kniff
el /la emancipado/-a ;Emanzipierte/r
el tarro;Einmachglas
pequeño/-a ;klein
la comida preparada ;Fertiggericht
el (producto) lácteo ;Milchprodukt
los embutidos;Wurstwaren
el pescado;Fisch
la fruta;Obst, Frucht
la verdura;Gemüse 
interior;innere/r/s
la mermelada ;Marmelade
la mantequilla;Butter
el refresco;Erfrischungsgetränk
la leche ;Milch
la puerta ;Tür
el atún;Thunfisch
la gamba;Kopfsalat
la lechuga ;Krabbe, Garnele
el pan;Brot
el plátano;Orange
la narania ;Banane
el pollo ;Hähnchen
el cerdo;Schwein
el yogur ;Joghurt
la manzana;Apfel
el jamón;Schinken
