el día a día;Alltag
a la canción;Lied
la alarma del despertador;Weckruf
el despertador;Wecker
las noticias ;Nachrichten
favorito -a;Lieblings-
antes de;vor, bevor 
apagar;ausschalten
consultar el tiempo;sich über das Wetter informieren
mirar;(an)schauen, betrachten 
ir (yo voy) al baño;ins Badezimmer gehen 
poner la televisión;den Fernseher anstellen 
leer el periódico;die Zeitung lesen 
pues;nun, also
el/ la joven;Jugendliche/r
ganar;verdienen
el reportaje;Reportage, Bericht 
corresponder;entsprechen
ordena;sortiere, ordne an 
cronológicamente;chronologisch 
cada vez son más;immer mehr 
el gasto;"Ausgabe(n); Kosten "
en casa;zuhause 
mexicano/-a;mexikanisch
la rutina diaria;Alltagsroutine 
bueno;nun ja, na gut
el / la ayudante de cocina;Küchen(ge)hilfe/-in
combinar;kombinieren, vereinbaren, verbinden 
imposible;unmöglich 
organizar;organisieren 
entonces;also 
como;da, weil 
temprano;früh 
despertarse (ie);aufwachen
poner (g) la música a tope;die Musik auf Höchstlaut-stärke aufdrehen
a tope fam;"Höchst-; bis zum Anschlag "
ducharse;sich duschen 
hacer (g) una pausa ;eine Pause machen 
después de...;nach ..
ligero/-a;leicht
cansado/-a ;müde
volver (ue);zurückkehren
a casa;nach Hause
dormir (ue);schlafen
el trabajo en grupo;Gruppenarbeit 
quedar;sich verabreden
el fin de semana ;Wochenende 
divertirse (je);sich amüsieren
encontrarse (ue) con ;sich treffen
salir (g) de marcha;sich ins Nachtleben stürzen, ausgehen
poner (g) la mesa ;den Tisch decken
el / la cocinero/-a ;Koch / Köchin
servir (i);bedienen
limpiar;putzen, sauber machen 
pues sí ;ja, in der Tat 
cuando;wenn
acostarse (ue);ins Bett gehen
inmediatamente;unmittelbar, umgehend 
clasifica (inf: clasificar);teile ein, sortiere 
según ;gemäß, nach
el tema ;Thema
las que ;diejenigen, die 
añadir;hinzufügen
alguno/-a más;noch ein/e weitere/r/s 
anota (inf: anotar);notiere 
similar;ähnlich
ir (yo voy) a trabajar;zur Arbeit gehen 
tarde;spät
la acción;Aktion, Handlung
el desayuno ;Frühstück
el momento;Moment, Augenblick
escribe (inf: escribir);schreibe
recoger;(ein)sammeln
todos los textos;alle Texte
perder (je) el autobús;den Bus verpassen
la llave;Schlüssel 
estar (yo estoy) en un atasco;im Stau stehen
olvidar;vergessen
rojo/-a ;rot
por fin ;endlich
has dormido (inf dormir);du hast geschlafen
encontrar (ue);(vor)finden
ha sonado (inf: sonar);(er) hat geklingelt 
has oído (inf: oír);du hast gehört 
estar (yo estoy) estresado/-a;gestresst sein
estar de mal humor;schlecht gelaunt sein
solo;erst
ha empezado (inf: empezar);(er) hat begonnen
has tenido que (inf: tener);du hast gemusst
el /la ex(novio/-a);Ex-Freund/in
ha escrito (inf: escribir);(er) hat geschrieben
feliz;glücklich
estar (yo estoy) enamorado/-a;verliebt sein
sin duda ;zweifellos, sicher
la mujer;Frau
tan pronto;so bald, so schnell 
te ha olvidado (inf: olvidar);(er) hat dich vergessen
уа;schon
el / la jefe/-a ;Chef/in
ha llamado (inf:llamar);(sie) hat angerufen
ha dejado (inf: dejar);(sie) hat hinterlassen
el mensaje de voz ;Sprachnachricht
has llegado (inf: llegar);du bist angekommen 
estar (yo estoy) preocupado/-a ;beunruhigt, besorgt sein
la ventana;Fenster
ha nevado (inf: nevar);es hat geschneit
negro/-a;schwarz
totalmente;total, völlig 
estar (yo estoy) desmotivado/-a;entmutigt, demotiviert sein
cambiar ;verändern
de acuerdo;einverstanden
sentirse (je);sich fühlen 
ha dicho (inf: decir);hat gesagt 
¡Ánimo! ;Kopf hoch!
todavía;noch
el estado de ánimo;Gemütszustand
triste;traurig 
motivado/-a;motiviert, ermutigt 
relajado/-a;entspannt 
el buen humor;gute Laune
así;so
el perfecto;Perfekt
el tiempo verbal ;Zeitform
el infinitivo;Infinitiv
¿Cómo se forma el perfecto?;Wie wird das Perfekt gebildet?
irregular;unregelmäßig
invitar;einladen 
recibir ;bekommen, empfangen 
el premio ;Preis, Auszeichnung
la entrevista;Interview 
durante ;während
el minuto;Minute
el dibujo;Zeichnung 
responder;antworten
está levendo (inf: leer);(sie) liest gerade 
están trabajando (inf: trabajar);(sie) arbeiten gerade
el portátil ;Laptop 
está haciendo fotocopias (inf: hacer);(er) kopiert gerade
el/la belga;Belgier/in
está durmiendo (inf: dormir);(sie) schläft gerade
expresar ;ausdrücken
la estructura;Struktur
el gerundio;Gerundium 
contestar;antworten
identificar ;identifizieren
el estrés;Stress
¿Qué asocias con.. ..? ;Was verbindest du mit ...?
la época de exámenes;Prüfungszeitraum, Prüfungsphase
el consejo relaciónalos;Ratschlag
la técnica de estudios;"verbinde sie; ordne sie zu Lerntechnik"
la vida privada;Privatleben
afectar a la salud;sich auf die Gesundheit auswirken
físico/-a;körperlich 
emocional;emotional
empeorar ;verschlechtern
el rendimiento académico;akademische Leistung
evitar;vermeiden
relajarse ;sich entspannen
la autoevaluación;Selbsteinschätzung
el progreso;Fortschritt 
preparar ;vorbereiten
la noche anterior;Vorabend
anterior;vorherig
ahorrar ;sparen
el esquema ;Schema
el mapa asociativo;Mindmap, Gedächtniskarte 
realista;realistisch
el objetivo ;Ziel
tener (g, ie) ganas ;Lust haben
sano/-a ;gesund
la cafeína ;Koffein
de esta forma ;auf diese Weise
la energía ;Energie
mejor ;besser
la fiesta de cumpleaños;Geburtstagsfeier
pasar las vacaciones ;Ferien verbringen
el trabajo en equipo ;Teamarbeit
el/la argentino/-a;Argentinier/in 
imaginar(se);sich vorstellen
mientras ;während
otros/-as;andere
disfrutar ;genießen 
de verdadero/-a;wahr, richtig 
falso/-a;falsch 
el próximo año ;nächstes Jahr 
próximo/-a;nächste/r/s
Dinamarca;Dänemark 
pagar;(be)zahlen 
levantarse;aufstehen
hacer (g) deporte ;Sport treiben 
a veces;manchmal
el horario;Zeitplan
sobre ;auf
las ruinas;Trümmer, Ruinen
antiguo/-a;frühere/r, ehemalig 
azteca;aztekisch
el nivel del mar ;Meereshöhe
la cuenca;Becken
América ;Amerika
central;zentral
(el) noviembre;November
(el) enero;lanuar
(el) mayo;Mai
México ;Mexiko
bajo tierra;unter der Erde
Ciudad de México ;Mexiko-Stadt 
depender de ;abhängen von 
planear;planen
en un día normal;an einem normalen Tag
meterse;hineingehen
lo primero;das Erste
subterráneo/-a;unterirdisch
el/la extranjero/-a;Ausländer/in
el laberinto;Labvrinth
abajo;unten
todo lo que ;alles (das), was 
la taquería;Imbiss, in dem Tacos verkauft werden
la pastelería;Konditorei
el puesto de periódico;Zeitungsstand
la pizzería ;Pizzeria
la heladería;Eisdiele
hasta ;sogar
el pasaje ;Passage, Durchgang 
el Zócalo;zentraler Platz von Mexiko-Stadt
la librería ;Buchhandlung
la exposición;Ausstellung
gigante ;riesig
la planta ;Pflanze
el animal ;Tier
el mapa del metro;Karte des Metro-Liniennetzes
el mural ;Wandbild, -gemälde
la ceremonia;Feierlichkeit, Zeremonie 
ritual;rituell
el túnel;Tunnel 
brillar;glänzen, funkeln
la estrella;Stern
la constelación;Sternbild 
conocido/-a;bekannt
