quedarse;bleiben
el sofá;Sofa
a jugar (ue) al tenis;Tennis spielen
escalar;klettern
pasear en globo;mit dem Ballon fahren
hacer (g) senderismo;wandern
hacer surf;surfen
esquiar;Ski fahren
bucear;tauchen
hacer (g) puenting;Bungee-Springen
interesante;interessant
estresante;stressig, anstrengend 
relajante;entspannend 
peligroso/-a;gefährlich
me parece;mir scheint, ich finde
parecer (zc);scheinen
repetir (i);wiederholen
¿Cómo quedamos?;Wo und wann treffen wir uns?
la agenda ;Terminkalender
el / la dentista ;Zahnarzt
la preparación;Vorbereitung
la investigación de mercados;Marktforschung
el súper / supermercado;Supermarkt
la cena de piso;Abendessen in der Wohngemeinschaft
la comunicación comercial;geschäftliche Kommunikation
la administración de empresas;Betriebswirtschaft(slehre)
la exposición;Ausstellung
la dirección estratégica;strategische Geschäftsführung
la estadística;Statistik
la tutoría ;Sprechstunde
el partido ;Spiel (Sport)
el hockey;Hockey
el buzón de voz;Sprachnachrichtenbox, Mobilbox
el asunto ;Angelegenheit
el detalle ;Einzelheit, Detail
el plan ;Plan 
pensar (je);"denken; vorhaben"
el próximo lunes;nächsten Montag
ir a + inf ;etw. tun werden 
mirad (inf: mirar);"schaut (euch) an; betrachtet "
¿Cuándo nos vemos?;Wann sehen wir uns?
proponer (g);vorschlagen
el regalo;Geschenk 
Vale.;ok., einverstanden
¿Qué te parece...?;Was hältst du davon ...? 
justo ;genau, gerade 
seguro (que);sicherlich 
terminar;(be)enden
¿Y si...? ;Wie wäre es, wenn ...?
pasar ;vorbeikommen
por genial;genial
¡Qué buena idea! mejor otro día;Was für eine gute Idee! 
ablehnen;lieber an einem anderen Tag 
es que..;nämlich 
aceptar ;annehmen 
rechazar;ablehnen
Lo siento.;Es tut mir leid.
la propuesta;Vorschlag
consultad (inf: consultar);seht nach in ...
¿Te apuntas?;Machst du mit?
apuntarse;beitreten, sich anmelden, sich anschließen 
ofrecer (zc);(an)bieten 
los medios audiovisuales;audiovisuelle Medien
ponerse (g) en forma;sich in Form bringen
mejorar ;verbessern
el estilo;Stil
el rey / la reina ;König/in
la pista;Tanzfläche
la oportunidad;Gelegenheit
la bachata;Bachata (Musikform und Tanz)
el merengue;Merengue (Musikform und Tanz)
el hip hop ;Hip Hop (Musikrichtung)
el rock and roll;Rock and Roll (Musikrichtung)
¡Es hora de mover el esqueleto!;Nun wird das Tanzbein geschwungen!
Es hora de... ;Es wird Zeit ..
los kilos de más;lästige Pfunde, überschüssige Kilos
la entrada principal;Haupteingang
correr;laufen
a su ritmo;in seinem / ihrem Tempo
el / la entrenador/a ;Trainer/in
el entrenamiento;Training
la trompeta;Trompete
quejarse;sich beschweren 
el club;Club, Vereinslokal
hacer (g) conciertos;Konzerte geben
el rock;Rockmusik
el pop;Popmusik 
clásico/-a;klassisch
Todo es posible.;Alles ist möglich.
obtener ;erhalten
el crédito ;Leistungspunkt
de libre elección;zur freien Auswahl
la ayuda;Hilfe 
la formación musical;musikalische Ausbildung
nadar;schwimmen 
completo/-a;ganzheitlich
No hay excusas. ;Keine Ausreden mehr!
la excusa;Ausrede
el curso;Kurs
tener (g, ie) lugar ;stattfinden
el horario de apertura ;Öffnungszeiten
las instalaciones;Einrichtungen, Anlagen 
el curso de perfeccionamiento;Aufbaukurs, Vertiefungskurs
el equipo ;Ausrüstung 
profesional ;professionell
suficiente ;genügend, genug 
práctico/-a ;praktisch 
grabar ;aufnehmen, -zeichnen 
editar ;bearbeiten
la necesidad ;Bedürfnis 
lo mismo;das Gleiche
el taller ;Workshop
tailandés/-esa;thailändisch
el sonido;"Laut, Klang; Ton "
lo;das (neutraler Artikel) 
lo que;das, was 
ninguno/-a ;keine/r/s 
la experiencia;Erfahrung
la clase de baile;Tanzstunde
activo/-a;aktiv
