completad (inf: completar);"vervollständigt; ergänzt"
la libertad;Freiheit
vivir aventuras;Abenteuer erleben
el gusto;Vorliebe, Geschmack 
¿Adónde? ;Wohin?
el albergue ;(Jugend-)Herberge
la maleta;Koffer
fijar ;festlegen
el presupuesto ;Budget, Haushaltsplan 
el alojamiento ;Unterkunft, Quartier 
decidir un destino;sich für einen Zielort entscheiden, einen Zielort auswählen
hacer (g) la maleta;den Koffer packen 
informar(se);(sich) informieren 
nombra (inf: nombrar);nenne
la categoría ;"Kategorie, Begriff; Bereich"
el pasaporte ;(Reise-)Pass
el champú ;Shampoo
la crema solar;Sonnencreme
el pijama;Schlafanzug, Pyjama 
la bota;Stiefel, feste Schuhe 
la maquinilla de afeitar;Rasierapparat, Rasierer
el paraguas ;Regenschirm
el analgésico ;Schmerzmittel
el chubasquero;Regenjacke, Regencape
la tableta;Tablet
el documento;Dokument, p/ Papiere, Unterlagen
el DNI (Documento Nacional de Identidad);Personalausweis
la tarieta sanitaria ;Krankenversicherungskarte
el botiquín;Reiseapotheke, Hausapotheke
la tirita;Pflaster
el repelente de insectos;Insektenschutzmittel
la pastilla potabilizadora;Trinkwasseraufbereitungstablette
el complemento;Accessoire
el reloi;Uhr
las gafas de sol pl ;Sonnenbrille
el gorro ;Mütze, Kappe
el calzado ;Schuhwerk, Schuhe pl
el pantalón ;Hose
el vestido;Kleid
la camiseta;T- Shirt
el jersey;Pullover
el bañador;Badeanzug, Badehose
el zapato;Schuh
la sandalia;Sandale
la (zapatilla) deportiva;Turnschuh, Sportschuh, Sneaker
el neceser;Kulturbeutel, Waschbeutel
la colonia;Kölnisch Wasser, Duftwasser
el maquillaje ;Schminkzeug, Make-up
el cepillo de dientes;Zahnbürste
la tecnología;Technologie, Technik
el cargador;Ladegerät
el adaptador de enchufe;Steckeradapter
el equipaje : llevarse;(Reise-)Gepäck mitnehmen
Pekín;Peking
Hace sol.;Die Sonne scheint.
Hace calor.;Es ist heiß.
el calor;Wärme, Hitze
Hace frío.;Es ist kalt.
el frío;Kälte
Hace 2° (grados).;Es sind 2°
Llueve. (inf: llover);Es regnet.
Nieva. (inf: nevar);Es schneit.
Hace buen / mal tiempo.;Es ist gutes / schlechtes Wetter.
piensa (inf: pensar) en ;denke an
infórmate (inf: informarse);informiere dich
muestra (inf: mostrar);zeige 
adivina (inf: adivinar);(er)rate
el / la viajero/-a;Reisende/r
relaciona (inf: relacionar);verbinde
identificarse;sich identifizieren
el / la aventurero/-a ;Abenteurer/in
el / la controlador/a ;kontrollfreudiger Mensch
el / la incansable ;Unermüdliche/r
el / la urbanita ;Stadtmensch
hacer (g) una escapada ;Kurzurlaub machen 
siempre que ;immer wenn 
imprescindible;unentbehrlich
un par de...;ein paar ...
la prenda;Kleidungsstück
cómodo/-a ;bequem
la mochila;Rucksack
el material de deporte ;Sportzubehör
el trekking ;Trekking
la escalada;Klettern, Bergsteigen 
faltar;fehlen 
solucionarse;sich regeln
en ruta;unterwegs
toda clase de;allerlei, vielerlei, jeglicher Art 
odiar ;hassen
la improvisación;Improvisation 
sistemático/-a;systematisch
controlar;kontrollieren, überprüfen 
intentar + inf ;versuchen (zu) 
de forma ordenada;ordentlich
el sobrepeso;Übergewicht
el aeropuerto;Flughafen
el relax;Entspannung 
valorar;(wert)schätzen
exigente;anspruchsvoll, fordernd
vacio/-a;leer
el resto;Rest
vender;verkaufen
regional;regional, aus der Region 
presentad (inf: presentar);stellt vor
