el/la universitario/-a ;Student/in
la residencia universitaria;Studentenwohnheim
el estudio;Einzimmerwohnung
individual;Einzel-
doble;Doppel-
exterior;äußere/r/s, Außen-, hier: zur Straße gelegen
el servicio de limpieza;Reinigungsservice, Reinigungsdienst
el servicio de lavandería;Wäscheservice, Wäschereidienst
la sala de ocio ;Gemeinschaftsraum 
el aparcamiento gratuito;kostenfreier Parkplatz
la conexión a Internet ;Internet-Zugang
el criterio;Kriterium
el metro cuadrado (m2);Quadratmeter
la mascota;Haustier
el /la propietario/-a ;Besitzer/in, Eigentümer/in
la zona centro;Innenstadtbereich
amplio/-a ;geräumig
la zona comercial;Geschäftsviertel, Einkaufsstraßen 
actualmente ;zurzeit 
la comunicación ;Verständigung, Umgang 
la característica;Kennzeichen, Eigenschaft, Merkmal
el dormitorio ;Schlafzimmer
luminoso/-a ;hell
la estancia mínima;Mindestaufenthalt 
admitir ;zulassen, erlauben
la fianza;Kaution
la luz;Licht, hier: Strom
el gas ;Gas
el equipamiento;Ausstattung
amueblado/-a;möbliert
completamente;komplett 
equipado/-a;ausgestattet
el aire acondicionado;Klimaanlage
la calefacción;Heizung
preferentemente;in erster Linie, vorzugsweise
a ... minutos a pie;... Minuten zu Fuß entfernt
la Cartuja;ehemaliges Kartäuserkloster in Sevilla
el año académico ;Studieniahr
el gasto de comunidad;Gemeinschaftskosten
la garantía;Garantie
el aparato;Apparat, Gerät 
bajar ;senken
la temperatura;Temperatur
dibuja (inf: dibujar);zeichne
mudarse;umziehen
comprueba (inf: comprobar);überprüfe
coincidir;übereinstimmen
responde (inf: responder);antworte
hay (haber) que + inf ;man muss
transferir (ie);überweisen
firmar el contrato ;den Vertrag unterschreiben
la hoja ;Blatt
pasa (inf: pasar);übergib, reiche
el / la vecino/-a ;Nachbar/in
la convivencia;Zusammenleben
alquilar;mieten
incluye (inf: incluir);beziehe mit ein, führe mit auf
el precio del alquiler;Mietpreis 
interior;innere/r/s, Innen-, hier: nicht zur Straße gelegen 
amueblar;möblieren
sin gastar;ohne (viel) Geld auszugeben
intercambiar ;austauschen 
el mueble ;Möbel(stück)
el electrodoméstico;Haushaltsgerät
la decoración ;Dekoration, Einrichtung 
la lámpara de techo;Deckenlampe, -leuchte
la mesita de noche;Nachttisch 
funcionar ;funktionieren
la lavadora;Waschmaschine
el piso compartido ;Wohngemeinschaft (WG)
la estantería;Regal
el metal;Metall 
u (vor o-, ho-);oder
pesado/-a ;schwer
la alfombra;Teppich
la medida;Maß
el color;Farbe 
claro/-a ;hell
la cama;Bett
el centímetro (cm);Zentimeter
el colchón;Matratze 
guardar;aufbewahren, verstauen
la mesa de cristal;Glastisch
redondo/-a;rund
transportar;transportieren
la silla;Stuhl
el balcón ;Balkon
el plástico;Plastik, Kunststoff
la madera;Holz
el mercadillo;(Floh-)Markt
azul;blau
el cartón;Pappe, Karton
viejo/-a;alt
ligero/-a ;leicht
servir (i);dienen, nützen, hilfreich sein
decorar;einrichten, dekorieren 
lavar los platos;das Geschirr spülen 
describe (inf: describir);beschreibe 
de segunda mano;aus zweiter Hand, gebraucht
el / la autor/a;Autor/in, Schriftsteller/in
Me los quedo todos.;Ich nehme alle.
el uso;Gebrauch
el pronombre;Pronomen
la regla;Regel
el (pronombre) indirecto;Dativpronomen
el (pronombre) directo;Akkusativpronomen 
independizarse;selbstständig werden
