la frontera;Grenze
puntual ;pünktlich
el gofre;Waffeln
crecer (z) como persona;als Person wachsen, die Persönlichkeit entwickeln
tolerante;tolerant 
flexible;flexibel
el beneficio;Nutzen, Vorteil
el extranjero;Ausland 
añade (inf: añadir);füge hinzu
ampliar el CV;den Lebenslauf aufwerten, interessanter machen 
romper con ;(zer-, unter-)brechen 
el convenio;Vereinbarung, Abkommen
Asia;Asien
Europa;Europa
América;Amerika
África;Afrika
Oceanía;Ozeanien
el test ;Test
el dato;Angabe
Erasmo de Rotterdam ;Erasmus von Rotterdam
el /la filósofo/-a ;Philosoph/in
el / la escritor/a ;Schriftsteller/in
el máximo;Maximum, Höchst-
sin límite ;unbegrenzt 
de media;im Schnitt, durchschnittlich
el límite;Grenze 
popular;populär, beliebt
Inglaterra;England
el /la estudiante erasmus;Erasmus-Student/in
el grado ;Bachelor
la solución;Lösung
el paso;Schritt
el proceso;Verfahren, Vorgang
la plaza;Studienplatz 
presentar una reclamación;reklamieren, eine Beschwerde vorbringen 
provisional;vorläufig 
presentar la solicitud;sich bewerben, einen Antrag stellen 
definitivo/-a;endgültig, definitiv 
el contrato de aprendizaje;Learning Agreement
económico/-a;wirtschaftlich, finanziell 
adjuntar;beilegen, beifügen
la carta de motivación;Bewerbungsschreiben, Motivationsschreiben
la motivación;Motivation 
especificar ;spezifizieren
el certificado;Bescheinigung, Zertifikat
Bruselas;Brüssel
Cantabria;Kantabrien
(el) abril;April
Estimados Sras. y Sres.;Sehr geehrte Damen und Herren (Brief)
en la actualidad ;gegenwärtig, zur Zeit
la actualidad;Gegenwart
cursar ;belegen, studieren 
el prestigio ;Prestige, Ansehen
ambiental;Umwelt-
la perspectiva;Perspektive
el método ;Methode 
ya que;da, weil 
directamente;direkt 
el / la profesional ;Fachmann/-frau, Profi 
la empresa líder ;führendes Unternehmen 
considerar (como);halten für, betrachten 
la red de contactos ;Beziehungsnetzwerk 
con el fin de;um ... zu, mit dem Ziel, zu ..
la salida profesional ;Berufsaussicht 
por último;zuletzt, letztendlich, abschließend 
perfeccionar;vervollkommnen
atentamente;mit freundlichen Grüßen (Brief) 
con el objetivo de ;zwecks
la certeza;Gewissheit 
haced (inf: hacer);macht 
corregir (i);korrigieren
la burocracia;Bürokratie
Florencia;Florenz
el / la candidato/-a ;Bewerber/in, Kandidat/in
la pesadilla;Alptraum
la esperanza (de);Hoffnung (auf)
contactar;Kontakt aufnehmen 
adaptarse ;sich anpassen
al principio;am Anfang
caótico/-a;chaotisch
